DATASET,BOT_FOLDERS,BOT_RATIO,MERGED_DATASET,TYPE_SELECTION,TRAIN_RATE,TEST_RATE,VAL_RATE,MODEL,FEATURES,test_Accuracy,test_TN Rate,test_FP Rate,test_FN Rate,test_TP Rate,test_Precision,test_Recall,test_F1 Score,test_MCC,test_AUC,val_Accuracy,val_TN Rate,val_FP Rate,val_FN Rate,val_TP Rate,val_Precision,val_Recall,val_F1 Score,val_MCC,val_AUC,C,break_ties,cache_size,class_weight,coef0,decision_function_shape,degree,gamma,kernel,max_iter,probability,random_state,shrinking,tol,verbose
cresci_2015,"[1, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,svm,,0.9798994974874372,0.3366834170854271,0.0150753768844221,0.0050251256281407,0.6432160804020101,0.9770992366412212,0.992248062015504,0.9846153846153846,0.9558700284137214,0.9732004429678848,0.99,0.35,0.0,0.01,0.64,1.0,0.9846153846153848,0.992248062015504,0.9783991809404572,0.99989010989011,1000,False,200,balanced,0.1,ovr,2,scale,poly,-1,True,,True,0.001,False
cresci_2015,"[1, 1, 1]","[0.4, 0.6]",True,correlation,0.7,0.15,0.15,svm,,1.0,0.4022988505747126,0.0,0.0,0.5977011494252874,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1000,False,200,balanced,0.1,ovr,2,scale,poly,-1,True,,True,0.001,False
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,svm,,0.6867469879518072,0.1385542168674698,0.2108433734939759,0.1024096385542168,0.5481927710843374,0.7222222222222222,0.8425925925925926,0.7777777777777778,0.2666064613816799,0.6452745849297573,0.6626506024096386,0.1024096385542168,0.2469879518072289,0.0903614457831325,0.5602409638554217,0.6940298507462687,0.8611111111111112,0.768595041322314,0.1863905387126688,0.5948275862068966,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
cresci-2015,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,svm,,0.6807228915662651,0.1325301204819277,0.216867469879518,0.1024096385542168,0.5481927710843374,0.7165354330708661,0.8425925925925926,0.774468085106383,0.2495483839348594,0.6636334610472542,0.7168674698795181,0.1506024096385542,0.1987951807228915,0.0843373493975903,0.5662650602409639,0.7401574803149606,0.8703703703703703,0.8,0.3389549272438954,0.6714559386973179,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,svm,,0.9849137931034484,0.3426724137931034,0.0064655172413793,0.0086206896551724,0.6422413793103449,0.9900332225913622,0.9867549668874172,0.988391376451078,0.966863924018329,0.9889829122720954,0.9763440860215054,0.3311827956989247,0.0193548387096774,0.0043010752688172,0.6451612903225806,0.970873786407767,0.9933774834437086,0.9819967266775778,0.9480558543214784,0.9963433957664648,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,correlation,0.7,0.15,0.15,svm,,0.9849137931034484,0.3448275862068966,0.0043103448275862,0.0107758620689655,0.6400862068965517,0.9933110367892976,0.9834437086092715,0.9883527454242927,0.9670445582210148,0.9902297440928788,0.9548387096774194,0.3290322580645161,0.021505376344086,0.0236559139784946,0.6258064516129033,0.9667774086378738,0.9635761589403974,0.965174129353234,0.9009644691836484,0.9840937715841224,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,svm,,0.9676724137931034,0.3318965517241379,0.0172413793103448,0.0150862068965517,0.6357758620689655,0.9735973597359736,0.97682119205298,0.975206611570248,0.9287778203394508,0.9861622107758974,0.9806451612903224,0.3419354838709677,0.0086021505376344,0.010752688172043,0.6387096774193548,0.9867109634551496,0.9834437086092715,0.9850746268656716,0.9575625568836996,0.9882988664526876,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,classifier,0.7,0.15,0.15,svm,,0.9827586206896552,0.3426724137931034,0.0064655172413793,0.0107758620689655,0.6400862068965517,0.99,0.9834437086092715,0.9867109634551496,0.9622148862247166,0.9868060665522036,0.9806451612903224,0.3419354838709677,0.0086021505376344,0.010752688172043,0.6387096774193548,0.9867109634551496,0.9834437086092715,0.9850746268656716,0.9575625568836996,0.9867143379514892,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,svm,,0.9676724137931034,0.3383620689655172,0.0107758620689655,0.021551724137931,0.6293103448275862,0.9831649831649832,0.9668874172185432,0.9749582637729548,0.9296321629731802,0.9879200392445426,0.9698924731182796,0.3419354838709677,0.0086021505376344,0.021505376344086,0.6279569892473118,0.9864864864864864,0.9668874172185432,0.9765886287625418,0.934800997132664,0.9783650916182504,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
cresci-2017,"[0, 1, 1]","[0.35, 0.65]",True,chi2,0.7,0.15,0.15,svm,,0.9741379310344828,0.3362068965517241,0.0129310344827586,0.0129310344827586,0.6379310344827587,0.9801324503311258,0.9801324503311258,0.9801324503311258,0.9430954132940887,0.985630774262121,0.9505376344086022,0.3311827956989247,0.0193548387096774,0.0301075268817204,0.6193548387096774,0.9696969696969696,0.9536423841059604,0.9616026711185308,0.8923752618077474,0.9808637711778329,100,False,200,,1.0,ovr,4,scale,poly,-1,True,,True,0.001,False
